  'jobs.title': '任务',
  'jobs.current': '当前任务',
  'jobs.noRunning': '暂无运行中或排队的任务',
  'jobs.logs': '日志',
  'jobs.clickForLogs': '点击任务查看日志',
  'jobs.recent': '最近任务',
  'jobs.cancel': '取消',
  'jobs.cleanup': '清理孤立任务',
  'jobs.cleanup.done': '已清理 {n} 个孤立任务',
  'jobs.cleanup.none': '没有需要清理的孤立任务',
  'jobs.cancelConfirm': '确认取消此任务？',
  'jobs.running': '进行中',
  'jobs.cancelled': '已取消',
  'jobs.cancelTask': '取消任务',
  'jobs.translateTag': '翻译',
  'jobs.fetchFailed': '获取任务失败',
  'jobs.createFailed': '创建任务失败',
  'jobs.deleteFailed': '删除任务失败',
  'jobs.type.lada': 'LADA',
  'jobs.type.whisper': 'Whisper',
  'jobs.emptyTitle': '暂无任务',
  'jobs.emptyCancelled': '暂无已取消的任务',
  'jobs.logsTitle': '实时日志',
  'jobs.copyAllLogs': '复制全部',
  'jobs.logsCopied': '已复制',
  'jobs.cancelRequested': '已发送取消请求',
  'jobs.chain.waitingTranscription': '等待转写完成后自动开始',
  'jobs.chain.skippedUpstream': '上游任务未完成，已跳过',
  'jobs.chain.childTask': '链式子任务',
  'jobs.chain.hasFollowUp': '完成后将自动衔接后续任务',
  'jobs.cancelSuccess': '任务已取消',
  'jobs.status.connecting': '连接中...',
  'jobs.status.blocked': '等待上游完成',
  'jobs.status.queued': '排队中',
  'jobs.status.completed': '已完成',
  'jobs.status.failed': '失败',
  'jobs.status.cancelled': '已取消',
  'jobs.status.skipped': '已跳过',
  'jobs.status.runningProgress': '进行中 ({progress}%)',

  // History
  'history.title': '历史记录',
  'history.filter.all': '全部',
  'history.filter.completed': '已完成',
  'history.filter.failed': '失败',
  'history.noHistory': '暂无历史记录',
  'history.noHistoryDesc': '当前筛选条件下还没有可显示的任务记录',
  'history.col.name': '名称',
  'history.col.status': '状态',
  'history.col.created': '创建时间',
  'history.col.completed': '完成时间',
  'history.col.output': '输出',
  'history.col.actions': '操作',
  'history.col.progress': '进度',
  'history.recordCount': '共 {n} 条记录',
  'history.unknownJob': '未知任务',
  'history.deleteConfirm': '确认删除此记录？',

  // Settings
  'settings.title': '设置',
  'settings.tab.system': '系统',
